event_id,user_id,movie_id,date_id,device_type,watch_minutes,completion_pct,is_completed,rating_given
85,1446,169,20230723,Smart TV,39.6,44.0,0,4.0
86,1680,181,20241208,Smart TV,26.2,43.7,0,4.0
87,2358,179,20240627,Tablet,136.5,91.0,1,
88,2814,42,20240317,Tablet,22.7,68.8,0,3.0
89,2668,371,20241216,Smart TV,103.0,63.2,0,4.0
90,1079,286,20240403,Mobile,11.4,7.0,0,5.0
91,598,70,20240218,Mobile,88.4,75.6,0,
92,1415,144,20240401,Laptop,11.1,25.8,0,5.0
93,1825,345,20240827,Laptop,34.3,85.8,0,5.0
94,701,384,20241205,Tablet,97.8,76.4,0,3.0
95,2003,295,20240319,Laptop,84.7,67.2,0,
96,522,434,20241015,Laptop,14.0,26.9,0,1.0
97,2362,546,20230729,Gaming Console,29.6,52.9,0,
98,2313,493,20230129,Laptop,15.1,75.5,0,3.0
99,198,560,20240531,Laptop,7.1,14.0,0,
100,2448,100,20240130,Smart TV,117.2,81.4,0,4.0
101,2016,111,20241228,Mobile,27.7,79.1,0,1.0
102,184,42,20240214,Mobile,7.1,21.4,0,5.0
103,491,510,20241023,Smart TV,121.6,88.7,0,4.0
104,300,523,20240416,Gaming Console,32.9,91.3,1,3.0
105,2010,378,20241201,Smart TV,39.1,25.5,0,1.0
106,1612,204,20240911,Smart TV,29.9,63.7,0,
107,2924,215,20241117,Mobile,83.7,58.1,0,
108,1750,532,20240913,Mobile,78.3,50.5,0,
109,2222,570,20241103,Gaming Console,98.4,55.6,0,4.0
110,2636,66,20241208,Gaming Console,145.9,86.9,0,
111,1843,280,20240901,Smart TV,16.8,76.5,0,3.0
112,2035,282,20240709,Smart TV,110.8,64.8,0,1.0
113,637,91,20241031,Mobile,29.7,67.4,0,1.0
114,1040,361,20241213,Mobile,46.4,44.2,0,5.0
115,2953,260,20241230,Web Browser,76.4,65.3,0,5.0
116,2011,409,20240321,Mobile,3.2,9.5,0,2.0
117,947,165,20241216,Laptop,19.7,72.8,0,2.0
118,1347,23,20241031,Smart TV,47.9,88.8,0,4.0
119,2545,426,20241224,Smart TV,33.4,69.5,0,5.0
120,776,185,20230821,Laptop,39.7,24.5,0,4.0
121,970,294,20230711,Gaming Console,133.7,91.6,1,1.0
122,1689,314,20231024,Laptop,22.9,73.8,0,2.0
123,66,295,20241224,Laptop,25.6,20.3,0,
124,1079,109,20240218,Mobile,19.6,48.9,0,4.0
125,1798,525,20241130,Mobile,23.3,28.8,0,
126,1115,353,20241201,Smart TV,70.6,50.4,0,5.0
127,1205,220,20230921,Smart TV,109.7,74.1,0,5.0
128,655,56,20231102,Smart TV,77.4,67.3,0,
129,601,24,20240915,Mobile,149.7,97.2,1,5.0
130,2137,68,20241203,Mobile,46.1,39.1,0,5.0
131,1283,40,20240430,Smart TV,14.0,60.9,0,2.0
132,2535,403,20231003,Mobile,24.0,80.0,0,5.0
133,2370,239,20240729,Smart TV,23.9,21.2,0,2.0
134,1493,410,20241219,Mobile,45.3,32.3,0,3.0
135,2699,569,20240816,Mobile,11.8,10.9,0,2.0
136,1954,238,20240930,Smart TV,63.6,70.7,0,5.0
137,2976,421,20240918,Laptop,16.2,73.8,0,
138,574,493,20240817,Mobile,10.9,54.4,0,5.0
139,1474,75,20230829,Laptop,26.8,72.3,0,1.0
140,2095,490,20231008,Mobile,81.2,95.6,1,5.0
141,842,264,20241126,Mobile,68.3,63.2,0,
142,2650,329,20241105,Smart TV,38.1,74.7,0,
143,1137,558,20240731,Mobile,45.8,40.2,0,2.0
144,2270,442,20241219,Laptop,55.8,39.8,0,
146,961,326,20231206,Web Browser,27.5,76.5,0,1.0
147,804,226,20230706,Mobile,18.2,48.0,0,
148,144,324,20241219,Smart TV,8.4,18.3,0,5.0
149,626,500,20240630,Gaming Console,37.4,69.3,0,2.0
150,2031,164,20241207,Tablet,42.0,70.0,0,
151,1157,486,20240423,Mobile,42.7,94.8,1,2.0
153,2111,311,20240713,Gaming Console,92.8,81.4,0,3.0
154,994,74,20231111,Mobile,116.5,82.0,0,5.0
155,2640,56,20240528,Smart TV,54.2,47.2,0,2.0
156,2563,335,20240930,Gaming Console,56.6,56.6,0,
157,2443,307,20240817,Web Browser,18.0,66.8,0,
158,328,154,20240122,Tablet,94.9,63.7,0,5.0
159,1820,141,20230819,Web Browser,12.0,7.4,0,
160,1615,376,20241210,Gaming Console,53.8,32.4,0,3.0
161,909,67,20240926,Tablet,32.3,92.3,1,
162,440,227,20241112,Mobile,27.9,66.5,0,5.0
163,2814,158,20241016,Tablet,6.7,21.1,0,5.0
164,2895,358,20241212,Tablet,63.9,35.5,0,4.0
165,1084,483,20231230,Mobile,39.0,30.9,0,
166,314,444,20240728,Laptop,88.8,74.7,0,5.0
167,1551,254,20241214,Smart TV,47.3,40.0,0,2.0
168,1681,230,20240526,Tablet,16.2,62.4,0,1.0
169,2547,183,20241025,Laptop,59.4,70.7,0,
170,2026,523,20240228,Gaming Console,11.9,33.0,0,4.0
171,317,3,20240927,Smart TV,82.6,66.1,0,3.0
172,951,134,20241130,Laptop,40.2,36.9,0,
173,789,288,20241006,Mobile,17.6,65.1,0,4.0
174,420,299,20241229,Mobile,44.2,40.6,0,4.0
175,1783,345,20240624,Smart TV,11.4,28.4,0,
176,2940,396,20241124,Web Browser,43.8,87.7,0,1.0
177,1226,178,20231124,Mobile,78.7,48.6,0,4.0
178,1315,197,20230918,Smart TV,85.5,83.8,0,
179,1167,211,20241019,Smart TV,116.0,82.3,0,5.0
180,2761,109,20240320,Laptop,35.1,87.7,0,5.0
181,1630,510,20230507,Gaming Console,81.3,59.4,0,
182,1,217,20241016,Gaming Console,17.9,38.0,0,3.0
183,1458,403,20240809,Gaming Console,5.5,18.3,0,
184,1266,595,20241206,Gaming Console,75.3,59.8,0,5.0
185,2012,400,20240930,Smart TV,8.6,22.7,0,
186,2412,73,20241007,Smart TV,99.5,80.2,0,
187,197,577,20240830,Smart TV,145.0,88.4,0,
188,1346,333,20240620,Smart TV,55.2,31.0,0,
189,654,143,20241217,Mobile,40.8,42.9,0,5.0
190,2059,259,20240829,Mobile,40.8,90.6,1,
191,864,224,20230622,Laptop,70.5,74.3,0,3.0
192,2225,454,20231030,Gaming Console,130.3,74.5,0,5.0
193,7,261,20241202,Laptop,78.6,52.4,0,
194,439,344,20241211,Mobile,115.3,70.3,0,
195,2220,274,20241005,Laptop,9.8,9.8,0,2.0
196,2949,11,20240315,Tablet,27.7,23.1,0,5.0
197,1072,28,20240918,Web Browser,62.3,55.1,0,1.0
198,542,233,20241029,Smart TV,100.3,68.3,0,4.0
199,1869,31,20241001,Gaming Console,37.2,82.8,0,5.0
200,864,75,20240309,Smart TV,25.3,68.3,0,3.0
201,166,486,20241115,Tablet,21.4,47.6,0,
202,2381,294,20240302,Mobile,86.5,59.2,0,1.0
203,2697,296,20240905,Mobile,65.8,43.3,0,5.0
204,2683,31,20230721,Laptop,39.2,87.2,0,5.0
205,847,349,20240430,Mobile,28.7,33.8,0,1.0
206,2588,67,20230820,Smart TV,30.5,87.3,0,4.0
207,1921,290,20230912,Smart TV,76.9,83.6,0,3.0
208,2882,216,20241112,Gaming Console,91.1,55.9,0,5.0
209,51,317,20231016,Smart TV,25.5,23.4,0,4.0
210,2300,407,20241216,Web Browser,116.6,88.3,0,2.0
211,1494,562,20240806,Smart TV,91.0,55.5,0,3.0
212,508,217,20230703,Mobile,30.2,64.3,0,
213,2487,265,20240913,Mobile,45.8,33.4,0,
214,2702,283,20240828,Mobile,104.0,70.2,0,5.0
215,230,190,20241015,Tablet,13.9,63.2,0,
216,524,8,20240912,Web Browser,31.2,72.5,0,2.0
217,1648,363,20241116,Mobile,103.3,79.5,0,5.0
218,868,83,20241223,Gaming Console,49.5,39.6,0,
219,1845,227,20240518,Mobile,35.1,83.5,0,4.0
220,2887,189,20241012,Smart TV,25.9,60.2,0,4.0
221,1729,545,20230613,Gaming Console,64.1,70.5,0,5.0
222,58,450,20240405,Mobile,19.6,67.7,0,5.0
223,61,292,20240115,Smart TV,11.2,23.3,0,5.0
224,262,60,20241213,Web Browser,155.7,97.3,1,5.0
225,667,449,20241209,Gaming Console,15.7,34.9,0,3.0
226,2190,513,20231114,Smart TV,119.2,69.7,0,
227,2602,298,20241228,Smart TV,37.5,38.3,0,4.0
228,2244,421,20241130,Smart TV,12.6,57.3,0,4.0
229,2325,39,20240711,Laptop,40.5,35.2,0,
230,2220,183,20241104,Mobile,61.6,73.3,0,5.0
231,2487,448,20231114,Smart TV,71.5,57.6,0,4.0
232,878,496,20241009,Mobile,109.4,83.5,0,2.0
233,2186,598,20241108,Mobile,118.2,65.6,0,5.0
234,12,562,20240822,Laptop,111.4,67.9,0,3.0
235,2213,598,20240105,Mobile,91.7,51.0,0,4.0
236,1433,73,20240725,Smart TV,91.3,73.6,0,2.0
237,2488,598,20240919,Smart TV,25.8,14.3,0,
238,1153,509,20240721,Smart TV,26.3,15.4,0,5.0
239,2660,478,20240331,Smart TV,60.8,42.5,0,5.0
240,929,553,20240426,Laptop,18.7,69.2,0,4.0
241,2848,206,20240622,Smart TV,26.4,14.8,0,5.0
242,1398,219,20231116,Tablet,96.8,65.4,0,5.0
243,2991,8,20241028,Smart TV,14.3,33.2,0,
244,2152,218,20240614,Tablet,50.6,36.9,0,
245,2639,377,20240429,Mobile,17.8,55.5,0,1.0
246,1470,579,20240503,Laptop,84.0,70.0,0,
247,2605,318,20240326,Smart TV,3.2,6.4,0,
248,500,589,20230618,Mobile,22.2,71.7,0,1.0
249,2488,53,20241111,Smart TV,23.8,66.1,0,3.0
250,682,231,20241009,Smart TV,45.5,96.9,1,5.0
251,2394,462,20241105,Mobile,21.4,85.5,0,5.0
252,1206,531,20241216,Smart TV,32.9,84.4,0,5.0
253,1145,5,20240302,Mobile,22.8,21.5,0,
254,1312,566,20240607,Gaming Console,39.6,70.7,0,4.0
255,1154,146,20240711,Smart TV,107.2,84.4,0,4.0
256,857,336,20241028,Smart TV,70.5,70.5,0,5.0
257,2097,294,20240901,Mobile,35.8,24.5,0,2.0
258,1627,312,20241104,Gaming Console,43.9,78.3,0,
259,162,450,20240209,Laptop,15.7,54.0,0,
260,843,367,20241111,Smart TV,89.6,58.9,0,2.0
261,802,116,20240202,Mobile,41.0,68.4,0,2.0
262,1625,163,20240311,Laptop,13.9,37.7,0,
263,2026,68,20241222,Gaming Console,94.7,80.3,0,5.0
264,1455,165,20230219,Tablet,22.9,85.0,0,2.0
265,2202,270,20240123,Mobile,86.5,54.4,0,3.0
266,2119,586,20241128,Laptop,52.0,38.0,0,4.0
267,625,599,20240829,Mobile,71.7,40.5,0,
268,2881,137,20240907,Mobile,137.3,83.2,0,
269,1668,549,20240203,Smart TV,42.7,90.8,1,4.0
270,630,126,20240511,Tablet,21.1,43.0,0,5.0
271,1164,533,20240926,Tablet,94.4,60.1,0,3.0
272,532,274,20240424,Tablet,56.3,56.3,0,5.0
273,2115,438,20240531,Mobile,19.2,56.4,0,1.0
274,2059,299,20231228,Mobile,87.3,80.1,0,2.0
275,2126,367,20241014,Mobile,149.5,98.4,1,5.0
276,2825,344,20240820,Smart TV,92.5,56.4,0,
277,14,567,20241114,Smart TV,80.4,76.5,0,4.0
278,2495,353,20241207,Tablet,43.2,30.9,0,2.0
279,619,40,20240225,Gaming Console,20.4,88.7,0,
280,1745,71,20241101,Gaming Console,36.1,75.3,0,
281,1660,105,20240925,Smart TV,54.8,59.6,0,
282,837,485,20231217,Smart TV,54.6,99.2,1,4.0
283,870,28,20241127,Laptop,65.5,58.0,0,2.0
284,655,372,20241229,Smart TV,83.4,67.8,0,2.0
285,1244,461,20241219,Tablet,71.5,63.9,0,5.0
286,673,209,20240915,Laptop,67.5,50.0,0,5.0
287,1247,40,20240801,Laptop,15.7,68.3,0,
288,1682,126,20241010,Smart TV,17.5,35.8,0,5.0
289,1220,21,20240721,Tablet,52.3,41.5,0,3.0
290,177,373,20240916,Web Browser,66.9,49.6,0,1.0
291,1978,254,20240930,Mobile,37.5,31.8,0,3.0
292,218,561,20240704,Laptop,39.2,30.1,0,
293,76,275,20241212,Mobile,87.4,62.4,0,3.0
294,207,456,20240501,Smart TV,107.2,67.0,0,4.0
295,1031,425,20241029,Mobile,86.1,62.9,0,5.0
296,460,370,20241231,Smart TV,33.1,89.3,0,5.0
297,970,592,20240207,Smart TV,76.8,70.5,0,3.0
298,2984,347,20240527,Smart TV,65.4,48.1,0,4.0
299,1198,401,20240802,Mobile,18.0,58.0,0,
300,1321,109,20240602,Mobile,23.9,59.8,0,
301,1584,7,20241116,Web Browser,43.5,35.9,0,1.0
302,665,398,20240511,Smart TV,103.4,68.0,0,5.0
303,778,399,20240909,Smart TV,44.2,88.4,0,2.0
304,2352,125,20240121,Mobile,63.8,69.3,0,2.0
305,2292,196,20230927,Smart TV,13.3,44.2,0,1.0
306,1184,96,20241211,Mobile,108.7,62.1,0,
307,582,147,20240615,Tablet,114.7,84.3,0,3.0
308,1596,166,20240912,Web Browser,106.6,70.2,0,
309,578,214,20240621,Mobile,40.1,89.1,0,2.0
310,1073,156,20240419,Smart TV,14.6,52.0,0,2.0
311,1641,5,20241221,Smart TV,76.9,72.6,0,4.0
312,1584,594,20241209,Web Browser,99.0,57.2,0,
313,328,94,20240716,Smart TV,50.2,50.7,0,2.0
314,98,110,20240427,Smart TV,11.8,35.8,0,5.0
315,137,202,20240806,Smart TV,20.3,58.1,0,
316,2710,598,20240513,Gaming Console,79.7,44.3,0,4.0
317,958,523,20241216,Mobile,7.3,20.3,0,1.0
318,2174,32,20240422,Gaming Console,28.5,69.6,0,
319,2814,503,20240808,Tablet,51.7,60.1,0,1.0
320,1171,69,20241129,Gaming Console,45.6,32.1,0,2.0
321,1285,73,20240720,Mobile,42.9,34.6,0,
322,1749,399,20241220,Smart TV,41.3,82.7,0,5.0
323,553,137,20241027,Mobile,137.0,83.0,0,
324,2304,438,20241203,Web Browser,27.7,81.4,0,
326,2713,223,20230712,Mobile,15.7,11.4,0,5.0
327,631,566,20241202,Laptop,24.2,43.2,0,5.0
328,848,161,20241201,Tablet,26.3,16.0,0,5.0
329,1237,471,20240109,Tablet,38.0,81.0,0,
330,792,467,20240502,Smart TV,30.7,20.0,0,2.0
331,500,83,20230630,Laptop,37.0,29.6,0,2.0
332,1035,492,20240705,Laptop,23.8,67.9,0,1.0
333,1294,527,20231114,Mobile,82.8,51.4,0,
334,1963,546,20230612,Web Browser,23.9,42.8,0,
335,2090,534,20241216,Tablet,23.0,41.8,0,
336,2685,127,20241008,Mobile,19.3,56.8,0,
337,162,549,20240928,Mobile,31.0,65.9,0,5.0
338,1197,555,20241202,Laptop,52.0,39.7,0,5.0
339,2114,6,20240324,Mobile,36.3,40.8,0,1.0
340,1147,463,20241112,Smart TV,123.8,80.4,0,1.0
341,1894,44,20240731,Smart TV,19.4,71.9,0,
342,500,331,20240731,Tablet,54.6,33.9,0,2.0
343,1961,429,20241021,Mobile,58.7,63.8,0,5.0
344,2510,308,20240810,Mobile,142.4,88.5,0,5.0
345,2777,224,20240717,Smart TV,58.4,61.5,0,3.0
346,663,325,20231113,Mobile,86.3,59.9,0,5.0
347,1994,156,20240316,Smart TV,25.5,90.9,1,4.0
348,2,205,20240607,Mobile,36.4,63.9,0,2.0
349,811,384,20241113,Smart TV,99.1,77.4,0,3.0
350,1455,568,20240101,Mobile,81.5,84.9,0,
351,2173,212,20240412,Tablet,15.3,51.1,0,3.0
352,1647,187,20241102,Mobile,70.6,44.7,0,
353,1045,98,20240908,Mobile,101.6,79.3,0,4.0
354,1587,497,20240907,Smart TV,73.4,58.3,0,
355,931,197,20241010,Tablet,10.7,10.4,0,
356,51,420,20230717,Smart TV,42.2,89.9,0,4.0
357,204,257,20241128,Mobile,44.0,53.6,0,
358,2631,426,20241217,Mobile,18.3,38.1,0,5.0
359,332,337,20231101,Smart TV,58.8,36.1,0,4.0
360,1092,145,20240713,Gaming Console,16.6,35.3,0,
361,2533,201,20230802,Mobile,64.4,60.2,0,2.0
362,479,57,20240927,Smart TV,138.5,77.4,0,
363,357,284,20241103,Laptop,22.4,58.9,0,
364,1777,446,20241207,Mobile,130.5,92.6,1,
365,2291,292,20241130,Smart TV,28.0,58.4,0,
366,2942,266,20240101,Gaming Console,58.8,50.7,0,2.0
367,843,588,20240706,Smart TV,8.7,16.1,0,
368,61,100,20230617,Mobile,84.1,58.4,0,1.0
369,2468,97,20230322,Mobile,17.0,65.5,0,
370,612,547,20231123,Web Browser,38.3,71.0,0,5.0
371,1935,36,20231220,Tablet,50.0,34.5,0,5.0
372,522,226,20240703,Laptop,7.3,19.1,0,1.0
373,2041,95,20241027,Laptop,108.6,69.1,0,
374,742,546,20240415,Laptop,47.1,84.0,0,1.0
375,1936,276,20240329,Web Browser,47.4,57.1,0,4.0
376,2978,338,20241228,Web Browser,9.8,27.4,0,4.0
377,906,584,20240921,Smart TV,92.8,61.1,0,2.0
378,1553,50,20241219,Smart TV,63.1,59.5,0,4.0
379,2852,261,20241204,Laptop,99.3,66.2,0,5.0
380,1160,253,20241020,Laptop,11.7,46.9,0,4.0
381,884,229,20230704,Laptop,70.0,83.3,0,5.0
382,2044,283,20240916,Smart TV,85.2,57.6,0,
383,1251,139,20241012,Tablet,93.9,72.8,0,1.0
384,425,472,20241118,Tablet,46.7,77.9,0,1.0
385,2304,348,20240826,Gaming Console,35.9,89.8,0,4.0
386,2311,531,20230705,Mobile,12.6,32.3,0,4.0
387,2379,508,20241012,Web Browser,46.6,41.6,0,4.0
388,475,132,20240301,Tablet,43.2,45.0,0,3.0
389,2129,21,20240624,Tablet,66.2,52.5,0,5.0
390,2748,69,20241226,Mobile,111.1,78.3,0,1.0
391,2366,160,20240421,Smart TV,34.5,80.3,0,2.0
392,1604,375,20231205,Laptop,5.0,3.7,0,
393,540,363,20231031,Tablet,83.8,64.5,0,
394,521,363,20241224,Smart TV,101.6,78.2,0,1.0
395,2303,576,20240111,Mobile,39.1,44.4,0,1.0
396,2939,465,20241204,Smart TV,18.5,33.7,0,
397,691,164,20240624,Gaming Console,36.2,60.3,0,
398,1545,89,20241024,Smart TV,21.9,21.9,0,2.0
399,2598,371,20230714,Smart TV,140.4,86.1,0,
400,964,97,20240626,Web Browser,14.2,54.7,0,
401,2925,415,20241001,Web Browser,27.5,95.0,1,
402,502,243,20241009,Smart TV,48.7,42.0,0,3.0
403,2155,367,20230830,Mobile,129.7,85.3,0,5.0
404,2053,559,20241119,Web Browser,73.1,55.4,0,1.0
405,718,294,20241023,Mobile,13.3,9.1,0,3.0
406,1318,332,20230831,Laptop,47.4,43.5,0,1.0
407,1466,541,20240328,Gaming Console,62.8,39.3,0,
408,626,71,20240622,Web Browser,8.6,17.9,0,5.0
409,2320,25,20231129,Gaming Console,31.6,78.9,0,1.0
410,1427,439,20241022,Smart TV,65.4,64.7,0,3.0
411,260,446,20241015,Gaming Console,91.7,65.0,0,
412,2432,407,20230613,Smart TV,83.0,62.9,0,2.0
413,1535,473,20241227,Gaming Console,13.7,16.5,0,3.0
414,2235,548,20241010,Smart TV,59.1,56.8,0,3.0
415,1518,267,20231106,Laptop,108.2,77.9,0,1.0
416,2229,426,20240215,Smart TV,24.0,50.1,0,
417,12,130,20241209,Gaming Console,8.6,26.8,0,4.0
418,226,545,20241126,Mobile,54.8,60.3,0,4.0
419,975,484,20241106,Smart TV,77.3,82.2,0,2.0
420,1458,217,20240401,Smart TV,10.7,22.8,0,5.0
421,2403,158,20241204,Smart TV,12.3,38.5,0,
422,320,134,20241029,Tablet,49.7,45.6,0,5.0
424,124,115,20240717,Laptop,21.3,78.9,0,
425,457,509,20240808,Smart TV,110.8,65.2,0,
426,1073,362,20240503,Laptop,66.9,81.5,0,3.0
427,2025,153,20240818,Smart TV,27.4,53.7,0,
428,2379,340,20240907,Smart TV,31.2,78.0,0,3.0
429,1306,31,20241114,Smart TV,20.7,46.1,0,2.0
430,467,176,20240403,Gaming Console,104.7,65.5,0,4.0
431,2846,377,20241112,Smart TV,22.5,70.4,0,5.0
432,2058,199,20241126,Gaming Console,128.1,76.7,0,
433,1820,574,20240714,Mobile,78.3,69.9,0,2.0
434,801,345,20240103,Smart TV,27.8,69.6,0,4.0
435,552,34,20240430,Smart TV,35.8,26.1,0,3.0
436,2289,186,20240619,Gaming Console,26.1,86.9,0,
437,868,488,20241222,Smart TV,63.2,51.3,0,
438,2022,29,20230606,Mobile,26.1,31.1,0,2.0
439,962,135,20240515,Smart TV,22.5,77.6,0,1.0
440,1109,327,20241114,Gaming Console,132.6,92.1,1,2.0
441,398,94,20230818,Smart TV,55.2,55.8,0,
442,2675,107,20240822,Laptop,104.2,74.4,0,5.0
443,2883,108,20241020,Smart TV,67.6,51.2,0,3.0
444,2999,339,20230519,Gaming Console,12.2,42.0,0,
445,1163,62,20241010,Mobile,90.7,86.3,0,4.0
446,1415,293,20231223,Smart TV,90.7,59.6,0,5.0
447,198,69,20240526,Laptop,21.5,15.1,0,5.0
448,2126,141,20240218,Web Browser,83.3,51.7,0,2.0
449,1615,259,20241221,Laptop,41.2,91.5,1,1.0
450,2099,585,20240317,Smart TV,30.0,53.5,0,5.0
451,2341,114,20230502,Smart TV,94.6,64.8,0,
452,358,217,20240206,Smart TV,38.4,81.6,0,2.0
453,932,474,20241006,Mobile,21.3,50.7,0,
454,1940,582,20240917,Mobile,77.3,70.9,0,
455,2359,386,20241120,Laptop,17.6,39.1,0,5.0
456,1881,275,20241109,Laptop,117.3,83.8,0,
457,829,252,20241203,Smart TV,120.1,78.5,0,
458,2097,418,20240311,Gaming Console,35.7,30.2,0,5.0
459,616,384,20240911,Laptop,67.9,53.1,0,
460,2558,334,20240208,Smart TV,106.8,67.6,0,
461,913,350,20240206,Mobile,5.0,14.2,0,
462,1315,40,20240122,Mobile,14.3,62.0,0,
463,281,5,20240808,Mobile,60.3,56.9,0,
464,122,259,20241025,Gaming Console,12.8,28.4,0,1.0
465,2544,473,20240930,Tablet,46.4,55.9,0,3.0
466,689,214,20240910,Web Browser,20.9,46.4,0,3.0
467,1637,498,20240731,Gaming Console,106.4,96.7,1,5.0
468,1232,554,20240917,Smart TV,100.6,82.5,0,
469,1419,229,20241215,Mobile,36.1,43.0,0,3.0
470,857,209,20240721,Smart TV,121.6,90.1,1,2.0
471,1109,337,20241104,Mobile,142.7,87.6,0,3.0
472,1815,534,20240207,Smart TV,13.0,23.6,0,
473,433,39,20241227,Mobile,94.2,81.9,0,5.0
474,505,295,20230615,Gaming Console,43.8,34.7,0,3.0
475,1728,118,20241228,Laptop,138.5,80.5,0,
476,1078,247,20240809,Mobile,33.2,57.3,0,
477,2271,100,20240612,Web Browser,103.3,71.7,0,
478,1500,561,20230807,Smart TV,36.1,27.8,0,2.0
479,1184,549,20241223,Mobile,9.3,19.8,0,1.0
480,106,379,20240621,Smart TV,38.6,32.5,0,
481,1338,534,20240415,Mobile,36.2,65.7,0,
